ID	logFC	Gene.symbol	Gene.title
205478_at	321.467.939	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
219140_s_at	410.827.509	RBP4	retinol binding protein 4
266_s_at	-396.259.423	CD24	CD24 molecule
222317_at	377.298.061	PDE3B	phosphodiesterase 3B
201650_at	-474.241.108	KRT19	keratin 19
201839_s_at	-23.921.644	EPCAM	epithelial cell adhesion molecule
210964_s_at	230.772.501	GYG2	glycogenin 2
221009_s_at	214.139.985	ANGPTL4	angiopoietin like 4
219295_s_at	255.301.846	PCOLCE2	procollagen C-endopeptidase enhancer 2
43427_at	301.763.108	ACACB	acetyl-CoA carboxylase beta
202286_s_at	-265.559.898	TACSTD2	tumor-associated calcium signal transducer 2
205220_at	162.550.994	HCAR3	hydroxycarboxylic acid receptor 3
212741_at	270.914.504	MAOA	monoamine oxidase A
205610_at	166.852.499	MYOM1	myomesin 1
214456_x_at	347.344.892	SAA2///SAA1	serum amyloid A2///serum amyloid A1
202988_s_at	-234.231.226	RGS1	regulator of G-protein signaling 1
204388_s_at	203.442.884	MAOA	monoamine oxidase A
218087_s_at	312.302.957	SORBS1	sorbin and SH3 domain containing 1
210298_x_at	196.987.452	FHL1	four and a half LIM domains 1
209771_x_at	-184.986.327	CD24	CD24 molecule
219398_at	141.702.724	CIDEC	cell death inducing DFFA like effector c
218168_s_at	199.359.477	COQ8A	coenzyme Q8A
208510_s_at	199.448.095	PPARG	peroxisome proliferator activated receptor gamma
49452_at	213.395.799	ACACB	acetyl-CoA carboxylase beta
207092_at	304.434.559	LEP	leptin
205382_s_at	343.998.034	CFD	complement factor D
215695_s_at	242.769.807	GYG2	glycogenin 2
201286_at	-204.802.229	SDC1	syndecan 1
218237_s_at	-180.175.074	SLC38A1	solute carrier family 38 member 1
201131_s_at	-238.607.802	CDH1	cadherin 1
219737_s_at	176.678.567	PCDH9	protocadherin 9
219738_s_at	189.809.132	PCDH9	protocadherin 9
214414_x_at	202.472.998	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
203548_s_at	307.346.181	LPL	lipoprotein lipase
205913_at	251.232.261	PLIN1	perilipin 1
204997_at	233.810.965	GPD1	glycerol-3-phosphate dehydrogenase 1
221928_at	190.503.743	ACACB	acetyl-CoA carboxylase beta
206243_at	242.038.843	TIMP4	TIMP metallopeptidase inhibitor 4
209699_x_at	265.044.273	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
201596_x_at	-262.555.163	KRT18	keratin 18
203571_s_at	264.308.069	ADIRF	adipogenesis regulatory factor
209602_s_at	-290.688.278	GATA3	GATA binding protein 3
219064_at	158.240.893	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
213071_at	285.816.057	DPT	dermatopontin
207175_at	197.252.591	ADIPOQ	adiponectin, C1Q and collagen domain containing
216331_at	170.148.194	ITGA7	integrin subunit alpha 7
214063_s_at	264.776.647	TF	transferrin
210201_x_at	144.481.219	BIN1	bridging integrator 1
213068_at	247.270.352	DPT	dermatopontin
213693_s_at	-234.625.249	MUC1	mucin 1, cell surface associated
204570_at	239.471.663	COX7A1	cytochrome c oxidase subunit 7A1
209614_at	182.112.213	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
216379_x_at	-140.821.594	CD24	CD24 molecule
209686_at	157.991.763	S100B	S100 calcium binding protein B
209581_at	20.558.238	PLA2G16	phospholipase A2 group XVI
203980_at	192.471.592	FABP4	fatty acid binding protein 4
204151_x_at	179.983.365	AKR1C1	aldo-keto reductase family 1 member C1
204894_s_at	184.127.585	AOC3	amine oxidase, copper containing 3
203549_s_at	134.087.856	LPL	lipoprotein lipase
209493_at	153.579.192	PDZD2	PDZ domain containing 2
213524_s_at	15.082.987	G0S2	G0/G1 switch 2
202931_x_at	153.568.363	BIN1	bridging integrator 1
209183_s_at	202.396.982	C10orf10	chromosome 10 open reading frame 10
211653_x_at	25.669.831	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
204223_at	169.945.678	PRELP	proline and arginine rich end leucine rich repeat protein
209116_x_at	327.631.228	HBB	hemoglobin subunit beta
213706_at	222.402.914	GPD1	glycerol-3-phosphate dehydrogenase 1
205824_at	12.513.802	HSPB2	heat shock protein family B (small) member 2
204719_at	271.123.318	ABCA8	ATP binding cassette subfamily A member 8
214505_s_at	179.695.754	FHL1	four and a half LIM domains 1
208383_s_at	269.788.651	PCK1	phosphoenolpyruvate carboxykinase 1
